Paper,Dataset,Paper Year,Dataset Year,,Objectives,Paper Year
K-AGRUED: A Container Autoscaling Technique for Cloud-based Web Applications in Kubernetes Using Attention-based GRU Encoder-Decoder,Nasa,2022,1995,,Caching Optimization,2004
A hybrid wavelet decomposer and GMDH-ELM ensemble model for Network function virtualization workload forecasting in cloud computing,WorldCup98,2020,1998,,Load Balancing,2003
Machine learning-based auto-scaling for containerized applications,WorldCup98,2020,1998,,Auto-scaling,2021
Injecting Realistic Burstiness to a Traditional Client-Server Benchmark,WorldCup98,2009,1998,,Workload Prediction,2021
Analytic Modeling of Load Balancing Policies for Tasks with Heavy-tailed Distributions,WorldCup98,2000,1998,,Workload Prediction,2020
Flexible and Efficient Decision-Making for Proactive Latency-Aware Self-Adaptation,WorldCup98,2018,1998,,Resource Provisioning,2021
Flexible and Efficient Decision-Making for Proactive Latency-Aware Self-Adaptation,ClarkNet,2018,1995,,Load Balancing,2001
"TeaStore: A Micro-Service Reference Application for Benchmarking, Modeling and Resource Management Research",WorldCup98,2018,1998,,Workload Prediction,2023
A QoS-Based Reactive Auto Scaler for Cloud Environment,WorldCup98,2017,1998,,Workload Prediction,2021
Efficient Decision-Making under Uncertainty for Proactive Self-Adaptation,WorldCup98,2016,1998,,Workload Prediction,2020
Efficient Decision-Making under Uncertainty for Proactive Self-Adaptation,ClarkNet,2016,1995,,Workload Prediction,2018
X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,WorldCup98,2004,1998,,Workload Prediction,2021
X-RAY: A Non-Invasive Exclusive Caching Mechanism for RAIDs,Nasa,2004,1995,,Workload Prediction,2022
Research on scheduling algorithms in Web cluster servers,WorldCup98,2003,1998,,Workload Prediction,2018
Research on scheduling algorithms in Web cluster servers,Nasa,2003,1995,,Workload Prediction,2011
Research on scheduling algorithms in Web cluster servers,Calgary,2003,1995,,Workload Prediction,2016
Research on scheduling algorithms in Web cluster servers,ClarkNet,2003,1995,,Resource Provisioning,2018
Deep Learning-Based Autoscaling Using Bidirectional Long Short-Term Memory for Kubernetes,WorldCup98,2021,1998,,Workload Prediction,2018
Deep Learning-Based Autoscaling Using Bidirectional Long Short-Term Memory for Kubernetes,Nasa,2021,1995,,Workload Characterization,1996
A Web Application Load Prediction Model Using Recurrent Neural Network in Cloud,WorldCup98,2020,1998,,Benchmarking,2021
Resource provisioning using workload clustering in cloud computing environment: a hybrid approach,WorldCup98,2021,1998,,Benchmarking,2021
Resource provisioning using workload clustering in cloud computing environment: a hybrid approach,Nasa,2021,1995,,Workload Prediction,2023
EquiLoad: a load balancing policy for clustered web servers,WorldCup98,2001,1998,,Auto-scaling,2021
Optimized Hierarchical Tree Deep Convolutional Neural Network of a Tree-Based Workload Prediction Scheme for Enhancing Power Efficiency in Cloud Computing,Nasa,2023,1995,,Workload Prediction,2021
Optimized Hierarchical Tree Deep Convolutional Neural Network of a Tree-Based Workload Prediction Scheme for Enhancing Power Efficiency in Cloud Computing,Saskatchewan,2023,1995,,Workload Prediction,2019
A Quantum Approach Towards the Adaptive Prediction of Cloud Workloads,Nasa,2021,1995,,Workload Prediction,2019
A Quantum Approach Towards the Adaptive Prediction of Cloud Workloads,Saskatchewan,2021,1995,,Workload Prediction,2020
BiPhase adaptive learning-based neural network model for cloud datacenter workload forecasting,Nasa,2020,1995,,Workload Prediction,2019
BiPhase adaptive learning-based neural network model for cloud datacenter workload forecasting,Saskatchewan,2020,1995,,Workload Characterization,2005
Workload prediction in cloud using artificial neural network and adaptive differential evolution,Nasa,2018,1995,,Workload Prediction,2024
Workload prediction in cloud using artificial neural network and adaptive differential evolution,Saskatchewan,2018,1995,,Workload Prediction,2023
Self directed learning based workload forecasting model for cloud resource management,Nasa,2021,1995,,Load Balancing,2021
Self directed learning based workload forecasting model for cloud resource management,Saskatchewan,2021,1995,,Workload Prediction,2018
Self directed learning based workload forecasting model for cloud resource management,Calgary,2021,1995,,Auto-scaling,2004
Auto-adaptive learning-based workload forecasting in dynamic cloud environment,Nasa,2022,1995,,Benchmarking,2003
Auto-adaptive learning-based workload forecasting in dynamic cloud environment,Saskatchewan,2022,1995,,Workload Characterization,2014
"Long short term memory recurrent neural network (LSTM-RNN) based workload forecasting model for cloud datacenters,",Nasa,2018,1995,,Workload Characterization,2009
"Long short term memory recurrent neural network (LSTM-RNN) based workload forecasting model for cloud datacenters,",Saskatchewan,2018,1995,,Resource Provisioning,2019
"Long short term memory recurrent neural network (LSTM-RNN) based workload forecasting model for cloud datacenters,",Calgary,2018,1995,,Resource Provisioning,2022
Prediction of Cloud Data Center Networks Loads Using Stochastic and Neural Models,Nasa,2011,1995,,Auto-scaling,2020
Prediction of Cloud Data Center Networks Loads Using Stochastic and Neural Models,EPA,2011,1995,,Workload Prediction,2020
Dynamic Resource Scaling in Cloud Using Neural Network and Black hole Algorithm,Nasa,2016,1995,,Auto-scaling,2023
Dynamic Resource Scaling in Cloud Using Neural Network and Black hole Algorithm,Saskatchewan,2016,1995,,Workload Prediction,2023
Dynamic Resource Scaling in Cloud Using Neural Network and Black hole Algorithm,Calgary,2016,1995,,Workload Characterization,2006
FAHP approach for autonomic resource provisioning of multitier applications in cloud computing environments,Nasa,2018,1995,,Workload Characterization,2005
FAHP approach for autonomic resource provisioning of multitier applications in cloud computing environments,ClarkNet,2018,1995,,Workload Characterization,2008
Web Server Workload Characterization: The Search for Invariants,Nasa,1996,1995,,Workload Characterization,1995
Web Server Workload Characterization: The Search for Invariants,Saskatchewan,1996,1995,,Workload Characterization,1997
Web Server Workload Characterization: The Search for Invariants,Calgary,1996,1995,,Workload Characterization,1999
Web Server Workload Characterization: The Search for Invariants,ClarkNet,1996,1995,,Caching Optimization,1999
Performance evaluation of metaheuristics algorithms for workload prediction in cloud environment,Nasa,2021,1995,,,
Performance evaluation of metaheuristics algorithms for workload prediction in cloud environment,Saskatchewan,2021,1995,,,
Performance evaluation of metaheuristics algorithms for workload prediction in cloud environment,Calgary,2021,1995,,,
Performance Assessment of Time Series Forecasting Models for Cloud Datacenter Networks’ Workload Prediction,Nasa,2021,1995,,,
Performance Assessment of Time Series Forecasting Models for Cloud Datacenter Networks’ Workload Prediction,Saskatchewan,2021,1995,,,
Performance Assessment of Time Series Forecasting Models for Cloud Datacenter Networks’ Workload Prediction,Calgary,2021,1995,,,
A cloud computing load prediction hybrid model with adaptive weight strategy,Nasa,2023,1995,,,
A cloud computing load prediction hybrid model with adaptive weight strategy,Saskatchewan,2023,1995,,,
RHAS: robust hybrid auto-scaling for web applications in cloud computing,Nasa,2021,1995,,,
RHAS: robust hybrid auto-scaling for web applications in cloud computing,ClarkNet,2021,1995,,,
A Preliminary Study of Machine Learning Workload Prediction Techniques for Cloud Applications,Nasa,2019,1995,,,
Application of an Enhanced Self-adapting Differential Evolution Algorithm to Workload Prediction in Cloud Computing,Nasa,2019,1995,,,
Application of an Enhanced Self-adapting Differential Evolution Algorithm to Workload Prediction in Cloud Computing,Saskatchewan,2019,1995,,,
Cloud datacenter workload estimation using error preventive time series forecasting models,Nasa,2020,1995,,,
Cloud datacenter workload estimation using error preventive time series forecasting models,Saskatchewan,2020,1995,,,
Cloud datacenter workload estimation using error preventive time series forecasting models,Calgary,2020,1995,,,
TASM: technocrat ARIMA and SVR model for workload prediction of web applications in cloud,Nasa,2019,1995,,,
TASM: technocrat ARIMA and SVR model for workload prediction of web applications in cloud,ClarkNet,2019,1995,,,
Lognormal and Pareto distributions in the Internet,Nasa,2005,1995,,,
Lognormal and Pareto distributions in the Internet,Saskatchewan,2005,1995,,,
Lognormal and Pareto distributions in the Internet,Calgary,2005,1995,,,
Lognormal and Pareto distributions in the Internet,ClarkNet,2005,1995,,,
Lognormal and Pareto distributions in the Internet,BU,2005,1995,,,
Workload prediction for enhancing power efficiency of cloud data centers using optimized self-attention-based progressive generative adversarial network,Nasa,2024,1995,,,
Workload prediction for enhancing power efficiency of cloud data centers using optimized self-attention-based progressive generative adversarial network,Saskatchewan,2024,1995,,,
COSCO2: AI-augmented evolutionary algorithm based workload prediction framework for sustainable cloud data centers,Nasa,2023,1995,,,
COSCO2: AI-augmented evolutionary algorithm based workload prediction framework for sustainable cloud data centers,Saskatchewan,2023,1995,,,
Autonomic task scheduling algorithm for dynamic workloads through a load balancing technique for the cloud-computing environment,Nasa,2021,1995,,,
Autonomic task scheduling algorithm for dynamic workloads through a load balancing technique for the cloud-computing environment,Calgary,2021,1995,,,
Toward on-Line Predictive Models for Forecasting Workload in Clouds,ClarkNet,2018,1995,,,
An Online Control Framework for Designing Self-Optimizing Computing Systems: Application to Power Management,ClarkNet,2004,1995,,,
Conserving Disk Energy in Network Servers,ClarkNet,2003,1995,,,
Category-based User Interaction with Online User-Generated Videos: Workload Characterization,YouTube,2014,2008,,,
"Characteristics of YouTube network traffic at a campus network – Measurements, models, and implications",YouTube,2009,2008,,,
Efficient resource provisioning for elastic Cloud services based on machine learning techniques,Madrid,2019,2018,,,
Cushion: A proactive resource provisioning method to mitigate SLO violations for containerized microservices,WorldCup98,2022,1998,,,
Cushion: A proactive resource provisioning method to mitigate SLO violations for containerized microservices,Wikipedia,2022,N/A,,,
Cushion: A proactive resource provisioning method to mitigate SLO violations for containerized microservices,Nasa,2022,1995,,,
Cushion: A proactive resource provisioning method to mitigate SLO violations for containerized microservices,ClarkNet,2022,1995,,,
Predictive Autoscaling of Microservices Hosted in Fog Microdata Center,Wikipedia,2020,2008,,,
Predictive Autoscaling of Microservices Hosted in Fog Microdata Center,WorldCup98,2020,1998,,,
Predictive Autoscaling of Microservices Hosted in Fog Microdata Center,ClarkNet,2020,1995,,,
Auto-Scaling Containerized Applications in Geo-Distributed Clouds,Wikipedia,2023,2008,,,
Auto-Scaling Containerized Applications in Geo-Distributed Clouds,Nasa,2023,1995,,,
Metrics for Mass-Count Disparity,WorldCup98,2006,1998,,,
Metrics for Mass-Count Disparity,SDSC,2006,1995,,,
Web workload characterization: Ten years later,Calgary,2005,1995,,,
Web workload characterization: Ten years later,Saskatchewan,2005,1995,,,
Watch Global Cache Local: YouTube Network Traces at a Campus Network - Measurements and Implications,YouTube,2008,2008,,,
Characteristics of WWW Client-based Traces,BU,1995,1995,,,
Self-Similarity in World Wide Web Traffic: Evidence and Possible Causes,BU,1997,1995,,,
Changes in Web client access patterns: Characteristics and caching implications,BU,1999,1995,,,
